沙子,shāzi,sand
大海,dàhǎi,sea
水,shuǐ,water
太阳,tàiyáng,sun
防晒霜,fángshài shuāng,sunscreen
墨镜,mòjìng,sunglasses
帽子,màozi,hat
泳衣,yǒngyī,swimsuit
毛巾,máojīn,towel
沙滩球,shātānqiú,beach ball
沙堡,shābǎo,sandcastle
贝壳,bèiké,shell
遮阳伞,zhēyángsǎn,beach umbrella
拖鞋,tuōxié,flip-flops
饮料,yǐnliào,drink
浪花,lànghuā,waves
船,chuán,boat
螃蟹,pángxiè,crab
鱼,yú,fish
包,bāo,bag
游泳,yóuyǒng,to swim
玩,wán,to play
晒太阳,shài tàiyáng,to sunbathe
跑,pǎo,to run
走,zǒu,to walk
吃,chī,to eat
喝,hē,to drink
挖,wā,to dig
潜水,qiánshuǐ,to dive
冲浪,chōnglàng,to surf
