路, lù, road
路口, lùkǒu, intersection
地图, dìtú, map
车站, chēzhàn, station/stop
地铁, dìtiě, subway
公交车, gōngjiāochē, bus
酒店, jiǔdiàn, hotel
餐厅, cāntīng, restaurant
医院, yīyuàn, hospital
银行, yínháng, bank
洗手间, xǐshǒujiān, restroom
左边, zuǒbiān, left side
右边, yòubiān, right side
前面, qiánmiàn, front/ahead
后面, hòumiàn, back/behind
旁边, pángbiān, beside
这里, zhèlǐ, here
那里, nàlǐ, there
距离, jùlí, distance
地方, dìfāng, place
去, qù, to go
转, zhuǎn, to turn
走, zǒu, to walk
到, dào, to arrive
找, zhǎo, to look for
问, wèn, to ask
知道, zhīdào, to know
在, zài, to be at/in
坐, zuò, to take (a bus/train)
过, guò, to cross
