### Nouns
酒店,jiǔdiàn,hotel
房间,fángjiān,room
房卡,fángkǎ,room card
护照,hùzhào,passport
订单,dìngdān,reservation
前台,qiántái,front desk
大堂,dàtáng,lobby
电梯,diàntī,elevator
楼层,lóucéng,floor
床,chuáng,bed
浴室,yùshì,bathroom
毛巾,máojīn,towel
水,shuǐ,water
早餐,zǎocān,breakfast
网络,wǎngluò,wifi
价格,jiàgé,price
行李,xíngli,luggage
箱子,xiāngzi,suitcase
发票,fāpiào,receipt
钥匙,yàoshi,key

### Verbs
入住,rùzhù,to check in
预订,yùdìng,to book
住,zhù,to stay
付钱,fùqián,to pay
需要,xūyào,to need
带,dài,to bring
给,gěi,to give
问,wèn,to ask
签字,qiānzì,to sign
拿,ná,to take
