### Nouns

扫帚, sàozhǒu, broom
拖把, tuōbǎ, mop
抹布, mābù, rag
吸尘器, xīchénqì, vacuum cleaner
垃圾桶, lājītǒng, trash can
垃圾袋, lājīdài, trash bag
水桶, shuǐtǒng, bucket
海绵, hǎimián, sponge
刷子, shuāzi, brush
清洁剂, qīngjiéjì, cleaning agent
消毒剂, xiāodújì, disinfectant
灰尘, huīchén, dust
垃圾, lājī, trash
地板, dìbǎn, floor
窗户, chuānghu, window
镜子, jìngzi, mirror
手套, shǒutào, gloves
肥皂, féizào, soap
盆, pén, basin
窗帘, chuānglián, curtain

### Verbs

打扫, dǎsǎo, to clean
扫, sǎo, to sweep
拖, tuō, to mop
擦, cā, to wipe
洗, xǐ, to wash
扔, rēng, to throw away
整理, zhěnglǐ, to tidy up
吸, xī, to vacuum
刷, shuā, to scrub
清理, qīnglǐ, to clear out
