### Nouns

公交车, gōngjiāochē, bus
公交站, gōngjiāozhàn, bus stop
车站, chēzhàn, station
长椅, chángyǐ, bench
司机, sījī, driver
乘客, chéngkè, passenger
票, piào, ticket
卡, kǎ, card
时间, shíjiān, time
天气, tiānqì, weather
雨, yǔ, rain
太阳, tàiyáng, sun
风, fēng, wind
路, lù, road
交通, jiāotōng, traffic
延误, yánwù, delay
路人, lùrén, passerby
袋子, dàizi, bag
雨伞, yǔsǎn, umbrella
手机, shǒujī, phone

### Verbs

等, děng, to wait
来, lái, to come
去, qù, to go
到, dào, to arrive
开, kāi, to start
下雨, xiàyǔ, to rain
问, wèn, to ask
要, yào, to want
迟到, chídào, to be late
走, zǒu, to leave
