### Nouns

菜单, càidān, menu
服务员, fúwùyuán, waiter
菜, cài, dish
米饭, mǐfàn, rice
面条, miàntiáo, noodles
水, shuǐ, water
茶, chá, tea
啤酒, píjiǔ, beer
筷子, kuàizi, chopsticks
勺子, sháozi, spoon
叉子, chāzi, fork
盘子, pánzi, plate
碗, wǎn, bowl
餐巾纸, cānjīnzhǐ, napkin
账单, zhàngdān, bill
桌子, zhuōzi, table
饮料, yǐnliào, drink
甜点, tiándiǎn, dessert
饭馆, fànguǎn, restaurant
订单, dìngdān, order

### Verbs

吃, chī, to eat
喝, hē, to drink
点, diǎn, to order
买单, mǎidān, to pay the bill
要, yào, to want
想要, xiǎngyào, to would like
等, děng, to wait
给, gěi, to give
拿, ná, to take
尝, cháng, to taste
