办公桌,bàngōngzhuō,desk
电脑,diànnǎo,computer
键盘,jiànpán,keyboard
鼠标,shǔbiāo,mouse
显示器,xiǎnshìqì,monitor
椅子,yǐzi,chair
水杯,shuǐbēi,cup
笔记本,bǐjìběn,notebook
笔,bǐ,pen
文件,wénjiàn,file
邮件,yóujiàn,email
会议,huìyì,meeting
同事,tóngshì,colleague
老板,lǎobǎn,boss
咖啡,kāfēi,coffee
网络,wǎngluò,internet
工牌,gōngpái,ID badge
打印机,dǎyìnjī,printer
电话,diànhuà,phone
文件夹,wénjiànjiā,folder
工作,gōngzuò,to work
开会,kāihuì,to have a meeting
发,fā,to send
喝,hē,to drink
打字,dǎzì,to type
打印,dǎyìn,to print
写,xiě,to write
打电话,dǎ diànhuà,to make a phone call
坐,zuò,to sit
准备,zhǔnbèi,to prepare
