### Nouns

医生, yīshēng, doctor
病人, bìngrén, patient
医院, yīyuàn, hospital
诊所, zhěnsuǒ, clinic
药, yào, medicine
症状, zhèngzhuàng, symptom
头痛, tóutòng, headache
发烧, fāshāo, fever
咳嗽, késou, cough
体温, tǐwēn, temperature
预约, yùyuē, appointment
血压, xuèyā, blood pressure
验血, yànxuè, blood test
X光, X-guāng, X-ray
处方, chǔfāng, prescription
护士, hùshi, nurse
体检, tǐjiǎn, physical exam
健康, jiànkāng, health
疼痛, téngtòng, pain
药店, yàodiàn, pharmacy

### Verbs

看, kàn, to see
感觉, gǎnjué, to feel
吃, chī, to take (medicine)
检查, jiǎnchá, to examine
问, wèn, to ask
说, shuō, to say
听, tīng, to listen
等, děng, to wait
疼, téng, to ache
休息, xiūxi, to rest
