Podcast ID,HSK Point,Theme
79,hsk1-29,losing-a-set-of-keys
79,hsk1-30,losing-a-set-of-keys
85,hsk1-13,sorting-through-the-laundry
85,hsk1-14,sorting-through-the-laundry
86,hsk1-1,helping-a-friend-with-depression
86,hsk1-2,helping-a-friend-with-depression
87,hsk1-5,fixing-a-flat-tire
87,hsk1-6,fixing-a-flat-tire
89,hsk1-3,cutting-yourself-while-shaving
89,hsk1-4,cutting-yourself-while-shaving
92,hsk1-15,recovering-from-a-sports-injury
92,hsk1-16,recovering-from-a-sports-injury
93,hsk1-17,telling-jokes-and-laughing
93,hsk1-18,telling-jokes-and-laughing
94,hsk1-19,comforting-a-grieving-friend
94,hsk1-20,comforting-a-grieving-friend
95,hsk1-21,meeting-the-in-laws
95,hsk1-22,meeting-the-in-laws
96,hsk1-23,gaming-together-online
96,hsk1-24,gaming-together-online
97,hsk1-25,surfing-the-internet
97,hsk1-26,surfing-the-internet
98,hsk1-27,choosing-a-book-to-read
98,hsk1-28,choosing-a-book-to-read
99,hsk1-31,looking-through-the-fridge
99,hsk1-32,looking-through-the-fridge
100,hsk1-33,making-fried-rice
100,hsk1-34,making-fried-rice
101,hsk1-35,going-for-a-hike
101,hsk1-36,going-for-a-hike
102,hsk1-37,riding-in-a-taxi
102,hsk1-38,riding-in-a-taxi
103,hsk1-39,selling-an-old-bike-online
103,hsk1-40,selling-an-old-bike-online
104,hsk1-41,hanging-out-on-the-couch
104,hsk1-42,hanging-out-on-the-couch
105,hsk1-43,acting-too-slowly
105,hsk1-44,acting-too-slowly
107,hsk1-47,reviewing-a-work-of-art
107,hsk1-48,reviewing-a-work-of-art
108,hsk1-49,spilling-a-bowl-of-ramen
108,hsk1-50,spilling-a-bowl-of-ramen
